update,global_step,sps,recent_return,recent_yaw,recent_length,eval_reward,eval_score,eval_yaw_distance,eval_planar_drift,eval_mean_planar_drift,eval_max_planar_drift,eval_pass_count,eval_length,policy_loss,value_loss,entropy,approx_kl,yaw_neg1_score,yaw_neg1_yaw_distance,yaw_neg1_target_yaw_distance,yaw_neg1_planar_drift,yaw_neg1_mean_planar_drift,yaw_neg1_max_planar_drift,yaw_neg1_pass_gate,yaw_neg1_length,yaw_neg1_terminated,yaw_neg05_score,yaw_neg05_yaw_distance,yaw_neg05_target_yaw_distance,yaw_neg05_planar_drift,yaw_neg05_mean_planar_drift,yaw_neg05_max_planar_drift,yaw_neg05_pass_gate,yaw_neg05_length,yaw_neg05_terminated,yaw_pos05_score,yaw_pos05_yaw_distance,yaw_pos05_target_yaw_distance,yaw_pos05_planar_drift,yaw_pos05_mean_planar_drift,yaw_pos05_max_planar_drift,yaw_pos05_pass_gate,yaw_pos05_length,yaw_pos05_terminated,yaw_pos1_score,yaw_pos1_yaw_distance,yaw_pos1_target_yaw_distance,yaw_pos1_planar_drift,yaw_pos1_mean_planar_drift,yaw_pos1_max_planar_drift,yaw_pos1_pass_gate,yaw_pos1_length,yaw_pos1_terminated
0,0,0,nan,nan,nan,-78.09704811332792,8.875966993203743,2.297307244669511,0.026965498014792772,0.011092310719643832,0.03581876571649391,1,80.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.875966993203743,2.297307244669511,2.88,0.026965498014792772,0.011092310719643832,0.03581876571649391,1,80,0
1,512,113,-215.59188842773438,2.056629925966263,80.0,-91.17165140857401,8.863121116751898,2.276606192984462,0.021429484376861468,0.01207449133161769,0.03288986284346611,1,80.0,-0.006232545245438814,1188.658447265625,-1.7429437190294266,0.0023840881476644427,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.863121116751898,2.276606192984462,2.88,0.021429484376861468,0.01207449133161769,0.03288986284346611,1,80,0
2,1024,161,-285.87597783406574,2.0912417074044547,80.0,-125.88445402428233,8.490456065211763,2.240928957060979,0.024670390820816727,0.014803712086656567,0.03478927111857449,1,80.0,-0.0021831186022609472,1443.1299743652344,-1.7423519790172577,0.0005918559618294239,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.490456065211763,2.240928957060979,2.88,0.024670390820816727,0.014803712086656567,0.03478927111857449,1,80,0
3,1536,134,-268.3898801803589,2.095084436237812,80.0,nan,nan,nan,nan,nan,nan,0,nan,-9.35759162530303e-05,1222.3472137451172,-1.741686835885048,0.000198695546714589,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
4,2048,134,-288.5811055501302,2.1124853640794754,80.0,-120.41276054254166,4.610916729292138,2.3164589277245926,0.034980793053208704,0.014679767721581827,0.044401490344556864,0,80.0,-0.00024643843062222004,1690.8291778564453,-1.7414662688970566,0.0001916783512569964,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,7.110916729292138,2.3164589277245926,2.88,0.034980793053208704,0.014679767721581827,0.044401490344556864,0,80,0
5,2560,149,-306.94011783599854,2.1327952332794666,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0007851677946746349,3420.993438720703,-1.741483435034752,0.000170806422829628,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
6,3072,160,-322.43120744493274,2.13493569360839,80.0,-120.43987456281248,4.6526114084536765,2.3044611638456294,0.033731278076758624,0.015074912489035835,0.04409164144750158,0,80.0,-0.0005377861671149731,3846.479705810547,-1.741939589381218,0.00018876910326071084,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,7.1526114084536765,2.3044611638456294,2.88,0.033731278076758624,0.015074912489035835,0.04409164144750158,0,80,0
7,3584,171,-322.57157412442297,2.132972080599178,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0012405018787831068,1769.1678771972656,-1.7423667907714844,0.00019739862182177603,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
8,4096,178,-320.8567132949829,2.1462789848446846,80.0,-107.68187977309302,8.936505464135385,2.291422643907503,0.021455192231240993,0.0137942464306352,0.03228293064448837,1,80.0,-0.0022577412892132998,1843.5677947998047,-1.7425979971885681,0.00041416112799197435,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.936505464135385,2.291422643907503,2.88,0.021455192231240993,0.0137942464306352,0.03228293064448837,1,80,0
9,4608,187,-319.1342626953125,2.155916862487793,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0013407910009846091,761.0855102539062,-1.7427754998207092,0.0008012168982531875,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
