update,global_step,sps,recent_return,recent_yaw,recent_length,eval_reward,eval_score,eval_yaw_distance,eval_planar_drift,eval_mean_planar_drift,eval_max_planar_drift,eval_pass_count,eval_length,policy_loss,value_loss,entropy,approx_kl,yaw_neg1_score,yaw_neg1_yaw_distance,yaw_neg1_target_yaw_distance,yaw_neg1_planar_drift,yaw_neg1_mean_planar_drift,yaw_neg1_max_planar_drift,yaw_neg1_pass_gate,yaw_neg1_length,yaw_neg1_terminated,yaw_neg05_score,yaw_neg05_yaw_distance,yaw_neg05_target_yaw_distance,yaw_neg05_planar_drift,yaw_neg05_mean_planar_drift,yaw_neg05_max_planar_drift,yaw_neg05_pass_gate,yaw_neg05_length,yaw_neg05_terminated,yaw_pos05_score,yaw_pos05_yaw_distance,yaw_pos05_target_yaw_distance,yaw_pos05_planar_drift,yaw_pos05_mean_planar_drift,yaw_pos05_max_planar_drift,yaw_pos05_pass_gate,yaw_pos05_length,yaw_pos05_terminated,yaw_pos1_score,yaw_pos1_yaw_distance,yaw_pos1_target_yaw_distance,yaw_pos1_planar_drift,yaw_pos1_mean_planar_drift,yaw_pos1_max_planar_drift,yaw_pos1_pass_gate,yaw_pos1_length,yaw_pos1_terminated
0,0,0,nan,nan,nan,-1815.8822657888493,4.616139278879288,2.34082054339191,0.016312667234419154,0.01399095776991733,0.02789422188759939,0,400.0,nan,nan,nan,nan,7.116139278879288,2.34082054339191,2.88,0.016312667234419154,0.01399095776991733,0.02789422188759939,0,400,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
1,512,296,nan,nan,nan,-1839.0876060432342,6.442087040746742,2.3891201612476363,0.005749366998182044,0.013225015429385017,0.02469125952850276,0,400.0,-0.0034996180329471827,3484.7762756347656,-1.7578332126140594,0.00035677175037562847,8.942087040746742,2.3891201612476363,2.88,0.005749366998182044,0.013225015429385017,0.02469125952850276,0,400,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
2,1024,315,nan,nan,nan,-2503.2974634617735,1.4652709139328253,2.2598385644260635,0.020190417652484336,0.016915244423291495,0.03262288022174344,0,400.0,-0.0005600954173132777,8688.955688476562,-1.757502794265747,0.00018251704750582576,3.9652709139328253,2.2598385644260635,2.88,0.020190417652484336,0.016915244423291495,0.03262288022174344,0,400,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
3,1536,371,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,-0.00044953334145247936,14218.344116210938,-1.7571895122528076,7.669863407500088e-05,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
4,2048,362,-3407.9281005859375,1.9779932796955109,400.0,-1735.8205714593269,3.84867324599435,2.4145807933061096,0.02422403968191197,0.013872974567103352,0.029053883736012472,0,400.0,-0.00160876102745533,4144.187103271484,-1.757195234298706,0.00011963199358433485,6.34867324599435,2.4145807933061096,2.88,0.02422403968191197,0.013872974567103352,0.029053883736012472,0,400,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
5,2560,389,-3407.9281005859375,1.9779932796955109,400.0,nan,nan,nan,nan,nan,nan,0,nan,-7.703190203756094e-05,12255.81201171875,-1.7574357688426971,0.00011496760998852551,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
6,3072,301,-3407.9281005859375,1.9779932796955109,400.0,-1959.7717121186943,4.439397074591072,2.2819644467549898,0.006768021830763357,0.01425297373529988,0.02744605729771067,0,400.0,-0.000597409438341856,17705.1376953125,-1.7574322819709778,6.094737909734249e-05,6.939397074591072,2.2819644467549898,2.88,0.006768021830763357,0.01425297373529988,0.02744605729771067,0,400,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
7,3584,288,-3584.9049377441406,1.9639501422643661,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0012779831886291504,5601.2867431640625,-1.7573905289173126,0.00011831711162813008,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
8,4096,277,-3584.9049377441406,1.9639501422643661,400.0,-1682.5668084882639,4.794169983883126,2.2799231222940612,0.02053554092489461,0.013241797334681102,0.02649421696346234,0,400.0,-0.001966045703738928,8456.784606933594,-1.7573435604572296,0.0002371165028307587,7.294169983883126,2.2799231222940612,2.88,0.02053554092489461,0.013241797334681102,0.02649421696346234,0,400,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
9,4608,274,-3584.9049377441406,1.9639501422643661,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0006876524421386421,10239.166748046875,-1.7574053704738617,0.00017396104522049427,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
