update,global_step,sps,recent_return,recent_yaw,recent_length,eval_reward,eval_score,eval_yaw_distance,eval_planar_drift,eval_mean_planar_drift,eval_max_planar_drift,eval_pass_count,eval_length,policy_loss,value_loss,entropy,approx_kl,yaw_neg1_score,yaw_neg1_yaw_distance,yaw_neg1_target_yaw_distance,yaw_neg1_planar_drift,yaw_neg1_mean_planar_drift,yaw_neg1_max_planar_drift,yaw_neg1_pass_gate,yaw_neg1_length,yaw_neg1_terminated,yaw_neg05_score,yaw_neg05_yaw_distance,yaw_neg05_target_yaw_distance,yaw_neg05_planar_drift,yaw_neg05_mean_planar_drift,yaw_neg05_max_planar_drift,yaw_neg05_pass_gate,yaw_neg05_length,yaw_neg05_terminated,yaw_pos05_score,yaw_pos05_yaw_distance,yaw_pos05_target_yaw_distance,yaw_pos05_planar_drift,yaw_pos05_mean_planar_drift,yaw_pos05_max_planar_drift,yaw_pos05_pass_gate,yaw_pos05_length,yaw_pos05_terminated,yaw_pos1_score,yaw_pos1_yaw_distance,yaw_pos1_target_yaw_distance,yaw_pos1_planar_drift,yaw_pos1_mean_planar_drift,yaw_pos1_max_planar_drift,yaw_pos1_pass_gate,yaw_pos1_length,yaw_pos1_terminated
0,0,0,nan,nan,nan,-2019.983066501985,-58.77497729721166,0.5118122277375741,0.04682130165817944,0.025737264598471175,0.05088533503953732,1,400.0,nan,nan,nan,nan,9.184921939954371,2.269319718145634,2.88,0.01907039726868518,0.013826925459726436,0.02642965452396981,1,400,0,-23.715600958876035,0.348494251934502,1.44,0.06917090797251722,0.03856073667582942,0.06917090797251722,0,400,0,-7.480525432572786,-0.09849090292151264,1.44,0.030436849769042422,0.01852435354355392,0.033120219772105206,0,400,0,-36.61774094747044,-0.47207415620832727,2.88,0.06860705162247291,0.03203704271477492,0.07482055788955706,0,400,0
1,512,141,nan,nan,nan,-2174.0783631233335,-63.93699506494744,0.525608977190817,0.04641294858729232,0.027633850301348958,0.053461949052216615,1,400.0,-0.004304803907871246,1677.1728973388672,-1.7428535223007202,0.002283189562149346,9.50353545345745,2.310812065414842,2.88,0.009618618658035037,0.013830380599234169,0.0288821378004442,1,400,0,-24.592396334686175,0.34830187067113294,1.44,0.0706660418874538,0.038705623354788846,0.0706660418874538,0,400,0,-7.516748883063731,-0.09142929210896389,1.44,0.03268975402606636,0.019742753156765713,0.03520382947035863,0,400,0,-40.628474099099456,-0.46524873521374266,2.88,0.07267737977761407,0.038256644094607106,0.07909578705060982,0,400,0
2,1024,205,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,-0.004402627237141132,3024.7678833007812,-1.7426248639822006,0.0009552233386784792,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
3,1536,257,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0002539767883718014,8052.8729248046875,-1.7427683025598526,0.0007838266610633582,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
4,2048,290,-2140.4791870117188,-0.03707675635814667,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0035545071586966515,1788.9734802246094,-1.7424004077911377,0.001022219454171136,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
5,2560,240,-2140.4791870117188,-0.03707675635814667,400.0,-2179.6238645473722,-66.37620473442084,0.5514414776414258,0.048018177302137754,0.027275893430922557,0.05485021181792639,1,400.0,-0.006094126729294658,2410.0567016601562,-1.7428890764713287,0.0025499396433588117,10.050265296229329,2.3952534938649306,2.88,0.010549470219757669,0.012887928517143314,0.02914841806286368,1,400,0,-25.27987179511716,0.35404135206088916,1.44,0.07175103917188992,0.0391944018646558,0.07175103917188992,0,400,0,-7.515776507670061,-0.09076058529455877,1.44,0.032947831141298345,0.019499386561030407,0.035445328598063236,0,400,0,-42.551887186225095,-0.4527683500655577,2.88,0.07682436867560508,0.03752185678086071,0.08305606143888872,0,400,0
6,3072,267,-2140.4791870117188,-0.03707675635814667,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.00031323242001235485,5265.231140136719,-1.744364857673645,0.0010948628187179565,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
7,3584,289,-2098.4058990478516,-0.03063282184302807,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.000344599480740726,1829.8966522216797,-1.7454764693975449,0.00017189225764013827,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
8,4096,309,-2098.4058990478516,-0.03063282184302807,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0027078442508354783,1846.5377807617188,-1.7459923923015594,0.0005519174446817487,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
9,4608,327,-2098.4058990478516,-0.03063282184302807,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0020838596392422915,4466.116027832031,-1.7467126548290253,0.0014030903694219887,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
10,5120,292,-2023.356465657552,-0.005297793696324031,400.0,-2064.1439917125326,-59.51296222594435,0.5228059330798605,0.04567433962089926,0.026029752634385197,0.051722812334308824,1,400.0,-0.0020203747553750873,2687.7512817382812,-1.7476055771112442,0.0008524211298208684,9.412244280219758,2.327824393141018,2.88,0.016961024799797265,0.013935844112438943,0.033100186579402543,1,400,0,-20.89584551141241,0.3462626967878155,1.44,0.065093538618977,0.03651881876669147,0.065093538618977,0,400,0,-7.4724634790075175,-0.09468092998422395,1.44,0.03131345867445364,0.01842449965827565,0.03382838806487057,0,400,0,-37.81915683871544,-0.4881824276251674,2.88,0.06932933639036913,0.03523984800013473,0.07486913607398518,0,400,0
11,5632,306,-2023.356465657552,-0.005297793696324031,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0037911252584308386,2289.2488403320312,-1.7485892623662949,0.0018591324624139816,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
12,6144,318,-2023.356465657552,-0.005297793696324031,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.002433870919048786,7612.266540527344,-1.7495788037776947,0.0010738432756625116,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
13,6656,330,-2103.5454177856445,0.09031821007374674,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0029986847657710314,5880.639831542969,-1.750182867050171,0.0008716322481632233,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
14,7168,342,-2103.5454177856445,0.09031821007374674,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0014227086212486029,2257.185089111328,-1.7510091662406921,0.0008451741596218199,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
15,7680,314,-2103.5454177856445,0.09031821007374674,400.0,-2048.220846787527,-62.02545440960765,0.5080852908047965,0.04871473630731929,0.02575604333567774,0.05206928805586526,1,400.0,-0.00421789291431196,6363.632507324219,-1.7516362071037292,0.0009649175917729735,8.711980198524202,2.2108222454512236,2.88,0.024081988908580883,0.0119917652721792,0.028819455016750498,1,400,0,-20.874505604452455,0.3416783747440679,1.44,0.06526618713315316,0.03593774165791654,0.06526618713315316,0,400,0,-7.4862403848431525,-0.08958670199241836,1.44,0.032514732229521066,0.019477047317438923,0.034925563375764905,0,400,0,-39.69061036953184,-0.4305727549836873,2.88,0.07299603695802205,0.03561761909517629,0.07926594669779248,0,400,0
16,8192,324,-2143.829559326172,0.1821184483356774,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0029838269110769033,7645.35693359375,-1.7521264553070068,0.0011462450784165412,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
17,8704,333,-2143.829559326172,0.1821184483356774,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.002637759374920279,2565.7149963378906,-1.7528041750192642,0.001335777051281184,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
18,9216,339,-2143.829559326172,0.1821184483356774,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.00044629524927586317,3079.52880859375,-1.7530694901943207,0.0005976087704766542,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
19,9728,347,-2119.067377726237,0.10341823822818696,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0038149859465193003,2542.1881713867188,-1.7541014850139618,0.0019955981406383216,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
20,10240,327,-2119.067377726237,0.10341823822818696,400.0,-2142.1109088528583,-70.34089869025667,0.5282288260331864,0.05137659696147848,0.02706021622608751,0.05454327686497498,1,400.0,-0.0005475846119225025,1749.7362823486328,-1.7554747462272644,0.00018447599723003805,8.970015567624362,2.249134702093663,2.88,0.023847186523632873,0.013333681065991783,0.02763115128946,1,400,0,-20.789263581598007,0.34926084496389276,1.44,0.06540655794021899,0.035607158895955476,0.06540655794021899,0,400,0,-7.506893883691631,-0.09041244654730507,1.44,0.03293170887171729,0.01938734684244149,0.03527585809216573,0,400,0,-46.40749057267227,-0.3950677963775049,2.88,0.08332093451034477,0.039912678099961296,0.08985954013805518,0,400,0
21,10752,334,-2119.067377726237,0.10341823822818696,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0005087709287181497,4307.245056152344,-1.7562919557094574,0.0002535014064051211,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
22,11264,342,-2136.7787126813614,0.10130547579111797,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0020939188543707132,9068.416625976562,-1.7567448318004608,0.00042356245103292167,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
23,11776,345,-2136.7787126813614,0.10130547579111797,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.00531210727058351,3851.019561767578,-1.7570816576480865,0.001122119399951771,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
24,12288,350,-2136.7787126813614,0.10130547579111797,400.0,nan,nan,nan,nan,nan,nan,0,nan,0.0007932797307148576,23820.9111328125,-1.7574396133422852,0.0006444985046982765,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
25,12800,333,-2471.3977127075195,0.3086316581466235,400.0,-1947.0675670813616,-55.13364113298235,0.526958812781473,0.044531881072821224,0.025129158810607316,0.04972977906364994,1,400.0,3.359396941959858e-05,51337.60693359375,-1.7577649056911469,8.131563663482666e-05,9.637823740841588,2.34082054339191,2.88,0.016312667234419154,0.01399095776991733,0.02789422188759939,1,400,0,-20.044979740880482,0.34474256282881943,1.44,0.06412786674162946,0.035341805682203964,0.06412786674162946,0,400,0,-7.548203110331209,-0.09294577729451792,1.44,0.03271102351590808,0.019824439896867906,0.0357366849697958,0,400,0,-34.51584108431186,-0.4847820778003191,2.88,0.06497596679932821,0.03135943189344006,0.07116034265557511,0,400,0
26,13312,338,-2471.3977127075195,0.3086316581466235,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0017315177829004824,1740.5572662353516,-1.7584204971790314,0.0001928468991536647,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
27,13824,344,-2471.3977127075195,0.3086316581466235,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.004243868752382696,2490.9570922851562,-1.7598071098327637,0.001065328367985785,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
28,14336,349,-2471.3977127075195,0.3086316581466235,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0014198098797351122,5204.046447753906,-1.7605522572994232,0.0014742914063390344,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
29,14848,355,-2423.1447007921006,0.32581276203402215,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.001264792401343584,1567.1930084228516,-1.761424332857132,0.00036229827674105763,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
30,15360,340,-2423.1447007921006,0.32581276203402215,400.0,-2093.2358486722073,-63.845575680822265,0.5434419731734027,0.046702584812104264,0.02631233096584036,0.05243580201798938,1,400.0,-0.0012836855603381991,4890.8349609375,-1.762734442949295,0.0004520061193034053,9.697565100313561,2.3519539693721905,2.88,0.015258224475397207,0.013950488804299228,0.028899512130475983,1,400,0,-20.302008987078803,0.3603655896329987,1.44,0.0648952583136812,0.03526027455266777,0.0648952583136812,0,400,0,-7.555952489283452,-0.10072666116499596,1.44,0.031271438224382414,0.018802007065918672,0.03456352331814217,0,400,0,-41.44438126944807,-0.4378250051465824,2.88,0.07538541823495622,0.03723655344047577,0.08138491430965816,0,400,0
31,15872,346,-2423.1447007921006,0.32581276203402215,400.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0017053133342415094,18142.93310546875,-1.7640507817268372,0.00035947648575529456,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
